geography_code,Subgroup,Group,Supergroup
S01020327,7b2,7b,7
S01020328,2a2,2a,2
S01020329,7b2,7b,7
S01020330,2c2,2c,2
S01020331,1c2,1c,1
S01020332,1c2,1c,1
S01020333,1c2,1c,1
S01020334,2c1,2c,2
S01020335,1c2,1c,1
S01020336,7b1,7b,7
S01020337,7b2,7b,7
S01020338,7a1,7a,7
S01020339,7a2,7a,7
S01020340,7a1,7a,7
S01020341,6a3,6a,6
S01020342,7a2,7a,7
S01020343,7a1,7a,7
S01020344,7a2,7a,7
S01020345,8b1,8b,8
S01020346,8b1,8b,8
S01020347,6b3,6b,6
S01020348,6a3,6a,6
S01020349,8b1,8b,8
S01020350,1c2,1c,1
S01020351,8b1,8b,8
S01020352,8b1,8b,8
S01020353,6b2,6b,6
S01020354,2a2,2a,2
S01020355,2a3,2a,2
S01020356,7a1,7a,7
S01020357,8b1,8b,8
S01020358,8b1,8b,8
S01020359,7a1,7a,7
S01020360,8b1,8b,8
S01020361,8b1,8b,8
S01020362,7a1,7a,7
S01020363,8b1,8b,8
S01020364,8b1,8b,8
S01020365,8b1,8b,8
S01020366,7a1,7a,7
S01020367,7a1,7a,7
S01020368,7a1,7a,7
S01020369,8b1,8b,8
S01020370,6b1,6b,6
S01020371,8b1,8b,8
S01020372,2b1,2b,2
S01020373,1c1,1c,1
S01020374,2b2,2b,2
S01020375,1a1,1a,1
S01020376,1c1,1c,1
S01020377,1c1,1c,1
S01020378,2c2,2c,2
S01020379,7a2,7a,7
S01020380,1a1,1a,1
S01020381,2b1,2b,2
S01020382,2b2,2b,2
S01020383,2b2,2b,2
S01020384,2c2,2c,2
